id,commune,code_postal,niveau_prix,nombre_habitants_par_commune,annee_habitants,annee_consommation,consommation_totale,consommation_moyenne,gaz,created_at,updated_at
58,"Brégnier-Cordon",01300,4,862,2011,2024,1371.75268,11.928284173913,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
59,"Brégnier-Cordon",01300,4,849,2016,2024,1371.75268,11.928284173913,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
60,"Brégnier-Cordon",01300,4,812,2022,2024,1371.75268,11.928284173913,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
61,"Brénod",01110,6,543,2011,2024,1414.53757,14.5828615463918,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
62,"Brénod",01110,6,522,2016,2024,1414.53757,14.5828615463918,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
63,"Brénod",01110,6,547,2022,2024,1414.53757,14.5828615463918,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
64,Bressolles,01360,4,742,2011,2024,2216.96874,12.316493,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
65,Bressolles,01360,4,891,2016,2024,2216.96874,12.316493,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
66,Bressolles,01360,4,1003,2022,2024,2216.96874,12.316493,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
67,Brion,01460,4,522,2011,2024,857.20338,15.8741366666667,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
68,Brion,01460,4,515,2016,2024,857.20338,15.8741366666667,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
69,Brion,01460,4,591,2022,2024,857.20338,15.8741366666667,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
70,Buellas,01310,6,1694,2011,2024,3218.99723,10.7658770234114,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
71,Buellas,01310,6,1767,2016,2024,3218.99723,10.7658770234114,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
72,Buellas,01310,6,1884,2022,2024,3218.99723,10.7658770234114,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
73,Certines,01240,3,1447,2011,2024,3229.1342,9.99731950464396,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
74,Certines,01240,3,1532,2016,2024,3229.1342,9.99731950464396,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
75,Certines,01240,3,1518,2022,2024,3229.1342,9.99731950464396,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
76,Cessy,01170,5,4167,2011,2024,10109.96737,9.19087942727273,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
77,Cessy,01170,5,4836,2016,2024,10109.96737,9.19087942727273,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
78,Cessy,01170,5,5570,2022,2024,10109.96737,9.19087942727273,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
79,"Ceyzériat",01250,3,2838,2011,2024,7412.13635,11.2475513657056,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
80,"Ceyzériat",01250,3,3138,2016,2024,7412.13635,11.2475513657056,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
81,"Ceyzériat",01250,3,3306,2022,2024,7412.13635,11.2475513657056,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
